sira	datesk	Item Name	Date	price
432	20130709	Brinjal (R)	8.03.2013	24
433	20130710	Brinjal (R)	9.03.2013	23
434	20130711	Brinjal (R)	10.03.2013	22
435	20130712	Brinjal (R)	11.03.2013	22
436	20130713	Brinjal (R)	12.03.2013	22
437	20130715	Brinjal (R)	13.03.2013	25
438	20130716	Brinjal (R)	14.03.2013	23
439	20130717	Brinjal (R)	15.03.2013	23
440	20130718	Brinjal (R)	16.03.2013	25
441	20130719	Brinjal (R)	17.03.2013	25
442	20130720	Brinjal (R)	18.03.2013	25
443	20130722	Brinjal (R)	19.03.2013	28
444	20130723	Brinjal (R)	20.03.2013	28
445	20130724	Brinjal (R)	21.03.2013	28
446	20130725	Brinjal (R)	22.03.2013	35
447	20130726	Brinjal (R)	23.03.2013	33
448	20130727	Brinjal (R)	24.03.2013	33
449	20130729	Brinjal (R)	25.03.2013	30
450	20130730	Brinjal (R)	26.03.2013	33
451	20130731	Brinjal (R)	27.03.2013	33
452	20130801	Brinjal (R)	28.03.2013	33
453	20130802	Brinjal (R)	29.03.2013	30
454	20130803	Brinjal (R)	30.03.2013	30
455	20130805	Brinjal (R)	31.03.2013	30
456	20130806	Brinjal (R)	1.04.2013	30
457	20130807	Brinjal (R)	2.04.2013	30
458	20130808	Brinjal (R)	3.04.2013	31
459	20130809	Brinjal (R)	4.04.2013	31
460	20130810	Brinjal (R)	5.04.2013	31
461	20130812	Brinjal (R)	6.04.2013	29
462	20130813	Brinjal (R)	7.04.2013	29
463	20130814	Brinjal (R)	8.04.2013	29
464	20130815	Brinjal (R)	9.04.2013	30
465	20130816	Brinjal (R)	10.04.2013	27
466	20130817	Brinjal (R)	11.04.2013	27
467	20130819	Brinjal (R)	12.04.2013	26
468	20130820	Brinjal (R)	13.04.2013	25
469	20130821	Brinjal (R)	14.04.2013	24
470	20130822	Brinjal (R)	15.04.2013	22
471	20130823	Brinjal (R)	16.04.2013	19
472	20130824	Brinjal (R)	17.04.2013	20
473	20130826	Brinjal (R)	18.04.2013	20
474	20130827	Brinjal (R)	19.04.2013	21
475	20130828	Brinjal (R)	20.04.2013	22
476	20130829	Brinjal (R)	21.04.2013	22
477	20130830	Brinjal (R)	22.04.2013	20
478	20130831	Brinjal (R)	23.04.2013	20
479	20130902	Brinjal (R)	24.04.2013	20
480	20130903	Brinjal (R)	25.04.2013	20
481	20130904	Brinjal (R)	26.04.2013	18
482	20130905	Brinjal (R)	27.04.2013	18
483	20130906	Brinjal (R)	28.04.2013	18
484	20130907	Brinjal (R)	29.04.2013	16
485	20130908	Brinjal (R)	30.04.2013	16
486	20130909	Brinjal (R)	1.05.2013	19
487	20130910	Brinjal (R)	2.05.2013	20
488	20130911	Brinjal (R)	3.05.2013	22
489	20130912	Brinjal (R)	4.05.2013	24
490	20130913	Brinjal (R)	5.05.2013	22
491	20130916	Brinjal (R)	6.05.2013	20
492	20130917	Brinjal (R)	7.05.2013	20
493	20130918	Brinjal (R)	8.05.2013	20
494	20130919	Brinjal (R)	9.05.2013	16
495	20130920	Brinjal (R)	10.05.2013	15
496	20130921	Brinjal (R)	11.05.2013	16
497	20130923	Brinjal (R)	12.05.2013	19
